xml_id	true	pred	corpus_id	modality	text_snippet
doc_089765	right	left	web1	web	Accueil — École Estienne Brèves Actualités BTS Edition / Planning de passage des épreuves orales Événements PHILANIM workshop Portes ouvertes 2025 Événements A double sens Événements L’histoire d’Apple en 30 machines mythiques Partenariats Printemps de la typographie Événements Travaux des élèves Es…
doc_280588	right	left	web1	web	Aubagne – Ils repassent l’épreuve de philo 34 lycéens en terminale ES scolarisés à Aubagne et La Ciotat qui avaient passé l’épreuve de philosophie du bac au lycée Joliot-Curie d’Aubagne, se retrouveront demain matin devant un nouveau sujet. Les copies composées le 18 juin, date de l’épreuve initiale…
doc_523016	left	right	web1	web	Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Extrait des pages 23 et 24 de la première partie « Les origines et la genèse d’une loi scélérate ». Lire ici la critique du livre. Pour éviter…
doc_346421	left	right	web1	web	Soutien à la République Démocratique du Congo La situation sécuritaire à l’Est de la République Démocratique du Congo (RDC), déjà très préoccupante depuis des mois, s’est aggravée ces derniers jours. Le M23, groupe armé directement soutenu par le Rwanda voisin selon l’ONU et de nombreux observateurs…
doc_440022	right	left	web1	web	La guerre en Ukraine - Hugo Publishing La guerre en Ukraine « Les États n’ont pas d’amis mais que des intérêts » Ce récit argumenté et historiquement documenté, offre un éclairage nouveau et vient à contre-courant des opinions généralement admises et répandues en France, en Europe et dans les pays O…
doc_202965	right	left	web1	web	Toronto (Canada) : un café anarchiste et anti-police, où les gens payent s'ils le souhaitent, ferme au bout d'un an pour des raisons économiques Malheureusement, The Anarchist fermera ses portes le 30 mai. (…) le manque de richesse générationnelle / de capital d’amorçage provenant de sources éthique…
doc_265322	right	left	web1	web	"François Kersaudy : ""La gauche a fait du déni de réalité sa marque de fabrique"" Pour François Kersaudy la gauche a fait du déni de réalité sa marque de fabrique. Elle s’enfonce dans l’idéologie, trompe les électeurs et n’a qu’un seul but : conserver le pouvoir. “La politique socialiste souffre toujo…"
doc_362474	left	right	web1	web	Matignon : Fromage ou dessert ? Ainsi Villepin serait placé devant un choix cornélien: doit-il combattre le chômage par un traitement social ou par un traitement libéral? Quand on sait que, d'après lui et les siens, le traitement social consiste à réduire les charges des entreprises et que le traite…
doc_176136	right	left	web1	web	A Kirkouk comme au Kosovo Poussés par leurs dirigeants, des centaines de milliers de Kurdes d’Irak, mais aussi des Kurdistan syrien, iranien, turc, s’installent à Kirkouk. Bien plus que le nombre d’habitants expulsés du temps de Saddam. Le but : modifier la composition ethnique de la ville avant le …
doc_204057	right	left	web1	web	Afin de mieux garantir le droit d'accès à l'eau et l'hygiène pour tous, trois géographes appellent à la généralisation des bains-douches collectifs, déjà de retour à Marseille et Saint-Denis Dans un contexte de crises énergétique, sanitaire, économique et environnementale, il est urgent de rendre ef…
doc_187550	right	left	web1	web	« À l’origine, le régime spécial des cheminots a été une volonté patronale » Le régime spécial de retraite des cheminots n’est pas seulement le fruit de la lutte syndicale. Ces avantages ont été pensés par les patrons de chemins de fer du XIXe siècle pour fidéliser une main d’œuvre qualifiée et l’em…
doc_369026	left	right	web1	web	Erreur judiciaire : Injuste... mais écrit Un jeune homme condamné à deux ans de prison, dont six mois avec sursis, s'est vu infliger une année de prison supplémentaire suite à l'erreur d'une greffière. Alors que la peine prononcée oralement était de deux ans, la greffière a écrit trois ans de prison…
doc_393544	left	right	web1	web	Nos lecteurs écrivent : parcours d’obstacles pour une immigrante Chers camarades, Je vous écris pour vous raconter le parcours du combattant d’une personne immigrant légalement en France. Ma compagne est arrivée fin juillet, avec un visa légal, car pour éviter les problèmes bureaucratiques, nous nou…
doc_109506	right	left	web1	web	About The European Heritage Alliance 3.3 is an informal European sectoral platform composed of 50 European or international networks and organisations active in the wider field of cultural heritage. The Alliance was launched in June 2011 on occasion of the European Heritage Congress 2011 organised b…
doc_347893	left	right	web1	web	« Chasse aux Roms » : La France doit protéger de la haine tous ceux qui se trouvent sur son territoire Depuis quelques jours, les agressions contre les « Roms », citoyens roumains ou bulgares vivant dans des campements de fortune, se multiplient. Des femmes, des enfants, des hommes, vivent désormais…
doc_268437	right	left	web1	web	"Musique : ""Sobreviviendo"" Paroles de la chanson du chanteur argentin Victor Heredia: Me preguntaron cómo viva, me preguntaron; sobreviviendo, dije, sobreviviendo Tengo un poema escrito más de mil veces, en él repito siempre que mientras alguien proponga muerte sobre esta tierra y se fabriquen armas …"
doc_204709	right	left	web1	web	Une première au Maroc : des habitants lancent une pétition contre la construction d’une mosquée Dans une pétition qui vient d’être mise en ligne sur le site Avaaz, il est ainsi indiqué que le budget pour la nouvelle mosquée est de 35,8 millions de dirhams, de quoi sans doute financier beaucoup de pr…
doc_273483	right	left	web1	web	Le prix d’entrée à la piscine du Rhône flambe de 135 % pour plus de tranquillité (sécurité) ? Rappel: L’été 2013 a été l’occasion de nombreuses violences avec interventions policières, fermeture, bagarres… Piscine du Rhône fermée: plus de sécurité demandée Lyon: incivilités en série dans les piscine…
doc_089599	right	left	web1	web	Find Lawyers By Location & Practice | Lexinter Law Directory LEXINTER LAW DIRECTORY FEATURED LAWYERS LAW DIRECTORY PROFILES Stand Out As A Featured Lawyer And Be The First Attorney Potential Clients See. Whether You’re A Lawyer Seeking To Connect With More Clients In Need Of Representation Or An Ind…
doc_372635	left	right	web1	web	Grande-Bretagne : Un témoin gênant Joe Glenton est un ancien soldat britannique de 27 ans, qui a été envoyé en Afghanistan pendant un peu plus d'un an à partir de 2006. Revenu au pays en 2007, il devait retourner en Afghanistan peu après, mais il a préféré déserter plutôt que de participer à une gue…
doc_294777	left	right	web1	web	Credits Diffuser des informations aux membres de l’association Pour diffuser vos informations (CFP, événements, etc.), merci de privilégier le formulaire AFEA news qui vous permettra de mettre vos annonces en ligne sur le site de l’association en quelques clics. Elles seront ensuite relayées aux mem…
doc_087421	right	left	web1	web	Conseil économique, social et environnemental d'Île-de-France Notre raison d'être En tant que représentants de la société civile, nous sommes l’écho des aspirations des Franciliennes et des Franciliens. Ça se passe en ce moment Nous nous réunissons plus de 200 fois chaque année, et sommes représenté…
doc_278514	right	left	web1	web	«Les voix ouvrières se détournent massivement de la gauche» Dominique Reynié, politologue, professeur à Sciences Po Paris, fondateur du think tank Fondapol, «libéral, progressiste et européen» répond aux questions du Point.fr sur le vote ouvrier qui représente 6 millions de Français, sur environ 45 …
doc_355132	left	right	web1	web	Au temps de la e-religion Deux petits entrepreneurs de Normandie viennent de lancer une application catholique pour téléphone portable et smartphone. Il s’agit d’ajouter en surimpression sur la photo d’un ami, voire d’un animal ou même d’un objet, une croix, un poisson (symbole chrétien) ou un simpl…
doc_116511	right	left	web1	web	Disparition du latin : rien n'est plus utile que les matières qu'on dit inutiles Dans La Faculté de l’inutile, l’écrivain soviétique Youri Dombrowski décrit une société stalinienne où la faculté de droit est reléguée parmi les vieilleries du passé, et son enseignement considéré comme un ensemble d’a…
doc_346836	left	right	web1	web	Les assistantes maternelles entrent (un peu) à l’Assemblée « Chaque mois de septembre, c’est l’angoisse. Du jour au lendemain j’ai perdu trois enfants, trois contrats, à cause du déménagement des parents. Je suis tombée à 700€. » On a un peu fait rentrer les assistantes maternelles, leurs salaires, …
doc_193735	right	left	web1	web	L’enquête sur l’affaire Alstom-General Electric, impliquant Emmanuel Macron, passe au parquet national financier […] A l’origine du signalement à la justice, le député Olivier Marleix (LR) ne cache pas sa cible : Emmanuel Macron. Le parlementaire qui a conduit la commission d’enquête sur Alstom s’in…
doc_256770	right	left	web1	web	"Thomas Legrand juge que Houellebecq avait ""tout faux"" avec son roman Soumission écrit en 2014 et que les notions d'invasion et d'islamo-gauchisme qu'il aborde ne correspondent qu'aux ""névroses"" de l'auteur Invasion, ensauvagement, «islamo-gauchisme»… Les deux Michel ont resservi leurs névroses dans …"
doc_279149	right	left	web1	web	Total : plus de 12 milliards d'euros de bénéfices et 1,2 milliard d'impôts Le groupe pétrolier Total a réalisé un bénéfice net de plus de 12 milliards d’euros l’an dernier, grâce aux cours élevés du pétrole qui ont compensé un léger recul de sa production et des difficultés persistantes dans le raff…
doc_263473	right	left	web1	web	"L'association féministe ""Nous toutes"" sort de son silence dans l'affaire Lola : elle appelle à manifester contre un rassemblement en hommage à la petite fille Contre la réappropriation par l’extrême droite du meurtre de Lola Reconquête appelle à un rassemblement “pour Lola” à Rennes ce samedi 22 oct…"
doc_277871	right	left	web1	web	«Il faut armer les rebelles syriens» Pour Jean-Baptiste Jeangène Vilmer, philosophe et juriste, il est urgent de fournir des armes aux rebelles syriens, ce qui serait un «un moindre mal». Un argumentaire en 6 points. Avec l’enlisement du conflit syrien, il devient nécessaire de réévaluer les options…
doc_133138	right	left	web1	web	Hervouët : «Ce que dit Trump sur l'Iran est vrai. Pas 1 spécialiste ne croit qu'ils ont bazardé leur équipement nucléaire.» Vincent Hervouët (spécialiste géopolitique LCI) : «Tout ce que dit Trump dans son tweet sur l’Iran est vrai. L’accord sur le nucléaire, nous, Européens, le défendons, mais pas …
doc_284898	right	left	web1	web	Kilamba : pourquoi la Chine a construit une ville fantôme de 500.000 habitants en Angola ? Située à 30 km de la capitale angolaise Luanda, la nouvelle ville Kilamba est composée de 750 immeubles, 100 locaux commerciaux et d’une douzaine d’écoles. Petit problème : la ville est vide. Construite par l’…
doc_157857	right	left	web1	web	Le syndrome Rabbi Jacob (…) Qu’on ne s’y trompe pas. La guerre est l’exception dans les relations judéo-musulmanes. “Quatorze siècles de paix et cinquante ans de guerre”, c’était le titre d’un ouvrage paru il y a de cela quelques années et résumant l’entente judéo-arabe. L“‘âge d’or” d’Al Andalus ou…
doc_137241	right	left	web1	web	L'art de la France d'après On se souvient de la “pièce de théâtre” scato-porno “The Crying Body” de Jan Fabre en 2005, ou encore de l’exposition “éducative” “Crad Expo” à la Cité des Sciences quelques mois plus tard. Un pas supplémentaire vient d’être franchi avec une exposition de cadavres humains …
doc_265478	right	left	web1	web	L'épopée des fusées V2, premiers missiles balistiques La V2 n’est pas, loin s’en faut, un projet qui prit la suite des V1. En fait, ce fut même un concurrent de la V1, projet du RLM (Reichsluftfahrtministerium : ministère de l’air), qui voyait d’un assez mauvais œil des projets aériens lui échapper.…
doc_379679	left	right	web1	web	Collard, avocat des exploiteurs Gilbert Collard, secrétaire du Rassemblement Bleu Marine et député FN du Gard, a confié au Figaro du 31 août : les ordonnances du Code du travail « ne vont modifier en rien la structure économique des entreprises ». Selon lui, la vraie réforme à mener devrait plutôt v…
doc_426331	left	right	web1	web	La Langue de Trump - Bérengère Viennot - Les Arènes Traductrice de presse, Bérengère Viennot s’est trouvée confrontée à un défi inédit après l’élection de Donald Trump. Le président américain a fait exploser les codes de la parole politique. Sa langue est vulgaire et confuse, truffée de fautes de sy…
doc_350153	left	right	web1	web	Après Buzyn, l’an 01 ! « On arrête tout, on réfléchit, et c’est pas triste ». Telle était la devise de Gébé dans L’An 01. Aujourd’hui, on est bien obligés d’arrêter. Donc autant réfléchir. Pour que demain soit moins triste. Sur lan01.org, je propose donc à qui le souhaite d’oeuvrer ensemble, grâce à…
doc_434308	left	right	web1	web	Arabie Saoudite Arabie Saoudite InternationalLes livraisons d’armes françaises à l’Arabie saoudite doivent cesser ! Comme une provocation. Moins d’un mois après les révélations de Disclose concernant l’utilisation d’armes françaises par l’Arabie saoudite et ses alliés dans leur sale guerre au Yémen,…
