xml_id	y_true	y_pred	corpus_id	modality	text_snippet
doc_392014	left	right	web1	web	Naufrage de migrants en Manche Cinq migrants ont tenté de rejoindre la Grande-Bretagne en partant de Dunkerque la nuit du 6 février, sur une petite embarcation de promenade, dont ils ont rapidement perdu le contrôle. Heureusement, l’un d’eu
doc_255410	right	left	web1	web	Les 13 raffineries françaises en grève Dans un communiqué diffusé vendredi, la Fédération nationale des industries chimiques CGT (FNIC CGT) et la coordination des syndicats CGT du groupe Total ont indiqué que “l’ensemble des 13 raffineries 
doc_108537	right	left	web1	web	Pierre de Brague – La rupture avec le monde bourgeois. Pierre de Brague – La rupture avec le monde bourgeois. Thème de la conférence : Constatant la dissolution de « l’idée sociale » antique, centrée autour du principe guerrier, les syndica
doc_520281	left	right	web1	web	Voir : Matthew Warchus, Pride Voir : Matthew Warchus, Pride La comédie dramatique de Matthew Warchus débute l’été 1984, quelques mois après le début du terrible bras de fer entre les mineurs britanniques et Margaret Thatcher qui soutenait l
doc_178763	right	left	web1	web	Manif pour tous. Communiqué de EELV contre le fichage génétique de militants politiques et syndicaux Un an après la condamnation de Xavier Mathieu, militant syndicaliste des «Conti», pour refus de donner son empreinte génétique, EELV exprim
doc_104160	right	left	web1	web	Dénaturation du mariage : avec 60 députés présents, la gauche arrive à obtenir 148 votes favorables ! Dans la nuit du dimanche 3 au lundi 4 février, le président du groupe UMP à l’Assemblée nationale, Christian Jacob, a été obligé de faire 
doc_382042	left	right	web1	web	Hollande et les patrons au Qatar : Notre ami le dictateur Vu de très, très loin, le Qatar peut passer pour une sorte de simili-démocratie. Après tout, contrairement à sa voisine l'Arabie saoudite, les femmes y ont le droit de s'habiller com
doc_360803	left	right	web1	web	Présidentielle : Ils causent, ils causent Le premier tour passé, on essaye de nous amuser avec « le débat sur les débats. » Sarko en veut trois, Hollande n'en veut qu'un. Mais pourtant on ne voit qu'eux depuis des mois sur les télés et dans
doc_176345	right	left	web1	web	Elections européennes/F N. A. Duhamel : «La plus grande catastrophe démocratique depuis 2002» Pour Alain Duhamel le gouvernement de Jean-Marc Ayrault «est en train de mettre au point une recette spectaculaire : comment perdre des élections 
doc_145017	right	left	web1	web	« Je suis le diable tu n'iras pas au paradis ! » Châtellerault. Poursuivi par des voix, Abdelkader avait poignardé le client d’un bar. La justice vient de le déclarer irresponsable. Sa place est à l’hôpital. Après la prison, l’hôpital. La c
doc_249981	right	left	web1	web	Océan de plastique Le plastique c’est dramatique. Pas seulement pour les paysages, mais pour les océans, où 6,5 millions de tonnes de déchets plastiques finissent chaque année avant d’être ingérées par les poissons, puis par nous. Ce ne son
doc_372443	left	right	web1	web	Woerth-Bettencourt, acte IV : Entrent les chaussettes à clous La distribution du vaudeville des Folies Bettencourt n'aurait pas été complète sans l'apparition du gendarme. C'est désormais chose faite, le journal Le Monde ayant montré que le
doc_271841	right	left	web1	web	PSA Aulnay, les mots de la fin (Vidéo) En juillet 2012, les salariés du site PSA Peugeot Citroën d’Aulnay-sous-Bois apprennent abasourdis la fermeture de leur usine. Les 3000 salariés du site se sentent trahis par leur direction et lâchés p
doc_175029	right	left	web1	web	"Le gouvernement veut en finir avec la maison individuelle : un « non-sens écologique, économique et social » et promeut l'""intensité heureuse"" Dans son discours de clôture de la concertation portant sur « Habiter la ville de demain », prono"
doc_125322	right	left	web1	web	Migrants. Alain Policar : « De gauche, donc cosmopolite » Tribune de Alain Policar, politiste, chercheur associé au Cevipof (Sciences-Po). L’accueil des migrants doit être compris comme l’élément central d’une théorie de la justice globale.
doc_373039	left	right	web1	web	Drame de la pauvreté : il doit retravailler à 62 ans ! Brutalement licencié à 57 ans en 2012, Nicolas Sarkozy a vécu cinq ans de petits boulots. Conférences obscures, tournées des anciennes gloires de la droite, chauffeur de stade au PSG, e
doc_209145	right	left	web1	web	La folie des bonnets roses à Berne (Suisse) A l’initiative du groupe des Verts du Parlement, les parlementaires se sont lâché(e)s ce matin dans la salle des pas perdus. A l’occasion de la Journée internationale des droits des femmes, ils on
doc_364378	left	right	web1	web	Un jeune traducteur de Harry Potter sera-t-il traduit... en justice ? On ne joue pas avec les profits des maisons d'édition. Un lycéen de 16 ans de la région d'Aix-en-Provence l'a appris à ses dépens. Passionné par les aventures de Harry Po
doc_089036	right	left	web1	web	Home Oct 01, 2025 Oct 03, 2025 Open to early- and midcareer scholars, the Harrington Faculty Fellows Program offers unprecedented resources and a yearlong residency at UT’s Energy Institute Oct 01, 2025 Sherine Salib, M.D., interim associat
doc_293625	right	left	web1	web	Press Room Tuesday, Sep 30 2025 The organization is now focusing deeply on the connection between food and health to ensure every person has access to the nutritious food they need to thrive. Tuesday, Sep 23 2025 Feeding America is far from
doc_523016	left	right	web1	web	Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Extrait des pages 23 et 24 de la première partie « Les origines et la genèse d’une
doc_432581	left	right	web1	web	Azerbaïdjan L’assaut éclair de l’armée de l’Azerbaïdjan a poussé les personnes arméniennes à fuir en masse le Haut-Karabagh (Artsakh en Arménien). Au moment où nous écrivons, près de la moitié de la population (…
doc_369263	left	right	web1	web	Lèche-bottes blues La démission fracassante du ministre de l’Écologie décorative, Hulot, semble inspirer Stéphane Bern, autre célébrité recrutée par Macron. Bombardé il y a quelques mois défenseur bénévole du patrimoine local, le spécialist
doc_172106	right	left	web1	web	Harcèlement de rue au Luxembourg : la police recommande aux femmes de ne pas sortir seule la nuit, des féministes préfèrent éviter une loi qui oppresserait les migrants LUXEMBOURG – Faut-il légiférer sur le harcèlement des femmes dans la ru
doc_250092	right	left	web1	web	Sortir de la crise économique... et de la crise du langage Il n’est question ni de rigueur ni d’austérité, mais de plan de relance. Le licenciement a fait place à la restructuration, la fermeture d’usine à la délocalisation, la récession à 
doc_351367	left	right	web1	web	Unir le petit bassin méditerranéen autour d’objectifs communs de progrès - Le programme Unir le petit bassin méditerranéen autour d’objectifs communs de progrès Ne nous résignons pas à voir la mer Méditerranée devenir un cimetière pour migr
doc_345357	left	right	web1	web	QE : Développement des écoles « Espérance Banlieues » M. Alexis Corbière attire l’attention du Ministre de l’Éducation sur le développement d’écoles hors contrat labellisées « Espérance Banlieues ». Aujourd’hui, les écoles hors contrat scol
doc_349413	left	right	web1	web	Le PS choisit le perdant Après un mois sous perfusion médiatique, après une après-midi de martèlement incessant sur les chaînes d’information en continu, la mobilisation pour les primaires du PS est un flop. Ils diront ce qu’ils voudront : 
doc_349861	left	right	web1	web	LPPR : Avis du Conseil Constitutionnel suite au recours déposé en décembre Avec 82 députés des groupes d’oppositions : LFI, GDR, Socialistes et apparentés, LT et non-inscrits, nous avions déposé au début du mois de décembre, un #Recours au 
doc_031547	right	left	web1	web	XING - Finde den Job, der zu Dir passt. Oder lass Dich finden! 🏛️ Stiftung 👨👧👦 Sozialpädagog·in 🏫 Verwaltung 🧑🏽🎓 Werkstudent·in 📣 Marketing-Jobs 🥕 Gesundheitsmanager·in 📦 Logistik-Jobs 👣 Quereinsteiger·in 🛋️ Psycholog·in ❤️🔥 Sozialarbeiter·
doc_515832	left	right	web1	web	Société Peut-on faire évoluer notre système de retraites par répartition à un système par capitalisation ? Plusieurs propositions politiques vont déjà dans ce sens, alors que la sempiternelle « réforme des retraites » semble condamnée à s’e
doc_089587	right	left	web1	web	Rinascita.eu Al giorno d’oggi molte persone posseggono più di un’auto per famiglia, e se si dispone di uno spazio abbastanza ampio all’eterno della propria abitazione, si può pensare di inserirvi un… La stampa industriale è un processo che 
doc_162730	right	left	web1	web	"Christophe Guilluy : ""Il n'y a pas trois blocs mais deux, les métropoles contre la France périphérique"" (…) Le Nouveau Front populaire peut (…) être majoritaire à l’Assemblée alors que la gauche est morte en 1983 en abandonnant la question "
doc_326221	left	right	web1	web	Le Paris des sans-culottes Le Paris des sans-culottes 22.00€ Tel un guide touristique, Jacques Pauwels emmène le lecteur dans un voyage à travers les années sans doute les plus orageuses de l’histoire de la capitale française. Dans un style
doc_346942	left	right	web1	web	[Question écrite] Quota d’œuvres francophones sur les radios publiques M. Michel Larive interpelle Mme la ministre de la Culture au sujet de la crise actuelle dans le secteur culturel et l’absence de perspectives notamment pour les auteurs-
doc_517225	left	right	web1	web	Lire : Anne Steiner, « Le Goût de l’émeute » Lire : Anne Steiner, « Le Goût de l’émeute » Il y eut un temps où les longs défilés protestataires, scandant des slogans et chantant des chansons, n’étaient pas encore la norme. Où aucune manifes
doc_172498	right	left	web1	web	Rivian vaut plus que PSA grâce à ses levées de fonds et la commande de 100.000 camionnettes par Amazon Malgré la pandémie, Rivian continue sa progression. Déjà évaluée à près de 25 milliards de dollars, la start-up vient de réaliser un nouv
doc_259225	right	left	web1	web	Parcs éoliens : le gouvernement demande aux préfets d’aller plus vite Le gouvernement a demandé aux préfets de « mettre en place toutes les actions requises » pour accélérer les projets d’énergies renouvelables en cours, y compris de parcs 
doc_209727	right	left	web1	web	Prison : 2.500 postes de surveillants à pourvoir L’administration pénitentiaire recrute à nouveau cette année 2.500 surveillants pour faire face aux postes qui restent vacants. Le personnel pénitencier de la maison d’arrêt de Carcassonne do
doc_217358	right	left	web1	web	Grèce : L'extrême droite participe au gouvernement d'union nationale Le nouveau gouvernement grec de coalition formé par le premier ministre Lucas Papademos, qui a prêté serment vendredi en fin d’après-midi lors d’une imposante cérémonie d’
doc_021515	left	right	web1	web	"Du PACS au ""mariage pour tous"", enjeux sociaux et politiques : une conférence d'Eric Fassin - CONTRETEMPS Du PACS au « mariage pour tous », enjeux sociaux et politiques : une conférence d’Eric Fassin Nous reproduisons ici la conférence d’Er"
doc_265387	right	left	web1	web	Prisons : La loi oubliée depuis 139 ans Il y a des grands principes qu’on a tellement oublié, qu’il faut aller les chercher sous la poussière des Archives nationales. C’est le cas notamment de la loi du 5 juin 1875 dans laquelle il est écri
doc_011208	left	right	web1	web	Helping Arab women | Na'am-AWC Arab Women in the Center | Lod נע״ם נשים ערביות במרכז ♀ نعم نساء عربيّات في المركز Na'am Arab Women in the Center About Arab Women in the Center Na’am, the acronym for Arab Women in the Center in Arabic, also 
doc_341887	left	right	web1	web	Jomshof: Förbjud halvmånar likt hakkors Jomshof: Förbjud halvmånar likt hakkors Publicerad 2024-01-22 Sverigedemokraternas Richard Jomshof anser att halvmånar, minareter och andra symboler för islam bör förbjudas i det offentliga rummet på 
doc_332076	left	right	web1	web	Le Courrier d'Europe centrale - Pologne, Hongrie, Tchéquie, Slovaquie Le Courrier d'Europe centrale a rencontré Chloé Ridel, députée au Parlement européen dans le Groupe de l'Alliance Progressiste des Socialistes et Démocrates, au matin d'u
doc_199936	right	left	web1	web	"Éducation sexuelle : SOS homophobie, Sidaction et le planning familial attaquent l’État en justice et demandent davantage de financements publics pour intervenir auprès de chaque élève, au moins 3 fois par an, et ce, ""dès le plus jeune âge"""
doc_188984	right	left	web1	web	LGBTQIA+… La sexualité a-t-elle besoin d’étiquettes ? «La prise en compte des identités minoritaires complique la vie. Pourtant, en les nommant, on inclut ces minorités aux débats», explique la chroniqueuse de « La Matinale » Maïa Mazaurett
doc_344540	left	right	web1	web	Organiser un quiz géant sur les idées reçues sur la pauvreté Nombre de participant·e·s : 2 ou plus Matériel nécessaire : carton, post-it, marqueur, ficelle Temps nécessaire : 45 minutes ou plus Pourquoi c’est important ? Cette action d’éduc
doc_258361	right	left	web1	web	Le scénario noir de la Banque de France Une prolongation de la guerre en Ukraine pourrait plonger l’économie française dans une sévère récession, avec un recul du PIB de 1,3 % en 2023. La Banque de France envisage aussi un scénario « défavo
doc_170256	right	left	web1	web	«Zones à faibles émissions» : des millions de voitures ne pourront bientôt plus rouler dans les grandes villes La plupart des grandes villes françaises vont devenir des ZFE (zones à faibles émissions) d’ici à 2024, avec des plans d’exclusio
doc_520635	left	right	web1	web	Antilles, esclavage, musée et réparations Antilles, esclavage, musée et réparations A l’occasion de la visite de François Hollande en Guadeloupe, pour l’inauguration du Mémorial ACTe – le Centre caribéen d’expressions et de mémoire de la Tr
doc_233426	right	left	web1	web	Stellantis envoie 300 travailleurs marocains en Serbie (MàJ : Stellantis va interrompre la production sur les sites historiques de Mulhouse et Sochaux) MàJ 30/09/2025 Les nouvelles, mauvaises, se succèdent pour Stellantis. Le géant européen
doc_176316	right	left	web1	web	Gendarmerie : l'inquiétude monte Après la cyber-allocution du DG le 11 octobre dernier, nous avons appris que le Général PARAYRE avait été auditionné la veille par la commission de la défense nationale et des forces armées sur le projet de 
doc_233857	right	left	web1	web	Désertions en hausse de 56% dans l’Armée de terre : un rapport dénonce l’« immaturité » des jeunes soldats et des sanctions trop faibles Selon Le Figaro, un rapport parlementaire publié le 19 mars 2025 par Loïc Kervran (Horizons) et Carolin
doc_425918	left	right	web1	web	Accès interdit! Vous n'avez pas le droit d'accéder à l'objet demandé. Soit celui-ci est protégé, soit il ne peut être lu par le serveur. Si vous pensez qu'il s'agit d'une erreur du serveur, veuillez contacter le webmestre.
doc_152286	right	left	web1	web	Le NPA défend le droit des femmes à porter le burkini Communiqué du NPA : M. Valls, J. P. Chevènement, en campagne pour le FN ? «Je comprends les maires qui, dans ce moment de tension, ont le réflexe de chercher des solutions, d’éviter des 
doc_283223	right	left	web1	web	Le trading à haute fréquence menacé de limitation de vitesse Le “trading haute fréquence” est à nouveau sur la sellette, à la veille de l’ouverture du débat sur la le projet de révision de la directive sur les marchés d’instruments financie
doc_087032	right	left	web1	web	Accueil - Mozaik RH Mozaïk RH est née de la volonté d’agir pour favoriser l’équité et combattre les inégalités d’accès à l’emploi. Au fil de nos expériences, nous avons observé que l’équité dans le traitement des individus passe par la mise
doc_352358	left	right	web1	web	Lan01.org, c'est parti ! « On arrête tout, mais on alerte. » Ces derniers jours, j’ai reçu de nombreux témoignages. Auxiliaires de vie sociale sans masque ni gel, animateurs vacataires privés de droits au chômage… Ces situations, comme dépu
doc_251184	right	left	web1	web	Trouble à l’ordre étatique Je fais des efforts pourtant. Je lis avec attention et sans presque soupirer le président de l’Union Syndicale des Magistrats. Je veux y croire. Je veux croire que, contrairement à ce que les policiers ou les gend
doc_196912	right	left	web1	web	Quand des députés LFI soutenaient Hadama Traoré, l'organisateur de la manifestation en hommage au terroriste Mickaël Harpon 30/05/18 Quatre élus de La France Insoumise (LFI), dont les députés de Seine-Saint-Denis Alexis Corbière et Eric Coq
doc_346671	left	right	web1	web	Monologue d’Emmanuel Macron : Nous ne tiendrons pas la chandelle Communiqué de Manuel Bompard, directeur de la campagne de Jean-Luc Mélenchon Ce mercredi soir, le Président de la République disposera d’un format totalement inédit pour s’adr
doc_106159	right	left	web1	web	Clash Of Civilizations — Gilad Atzmon thoughts and music The Israeli army confirmed today that up to 130 Palestinian civilians were slaughtered in Rafah last Friday following the triggering of the Hannibal protocol - an IDF directive that i
doc_401005	left	right	web1	web	Ridicule Lors d'un show télévisé, plusieurs élus politiques se sont mis en scène en se déguisant, l'un en médecin urgentiste, un autre en handicapé en fauteuil, d'autres en postier ou en mère de famille à la recherche d'un logement. Selon l
doc_179079	right	left	web1	web	Ils veulent leur peau : soutenons les forains ! L’histoire n’a pas fait grand bruit, mais depuis quelques semaines, les forains de la Foire aux Plaisirs de la place des Quinconces de Bordeaux ont entamé un bras de fer avec le Parc des expos
doc_415707	right	left	web1	web	Nous France Défendez vos idées pour construire la France de demain « Je veux que l’Etat s’occupe des sujets essentiels : sécurité, justice, reprise en main de notre politique migratoire, lutte contre le terrorisme, les grandes orientations 
doc_017885	left	right	web1	web	Un atlas critique de la Guyane ? Pour ce premier épisode de Contresons consacré à l’histoire dans une perspective critique et émancipatrice, le sujet choisi est celui de la Commune de... Depuis les années 1980, Jean-Jacques Lecercle dévelop
doc_526209	left	right	web1	web	Rigueur en Europe : Slovénie an 01 Rigueur en Europe : Slovénie an 01 La Slovénie a longtemps été le bon élève du libéralisme. Elle en retire aujourd’hui une croissance négative de 2,3 % et de sévères politiques d’austérité. Profondément co
doc_428434	left	right	web1	web	Actions décentralisées - Le live Ce live, réalisé par le réseau MUTU et le site lagrappe.info, permet de suivre en temps réel les récits de toutes les actions décentralisées ! Pour le suivre sur le réseau MUTU directement, rdv sur le site d
doc_258884	right	left	web1	web	Le Parlement européen met en scène des militants du FEMYSO, ONG proche des Frères musulmans à l'origine de #joyinhijab, pour inciter à participer à une consultation sur l'Evènement Européen de la Jeunesse 2023 (MàJ) 14/03/2022 Story instagr
doc_467686	left	right	web1	web	L'homme armé qui a perturbé une manif pro-Palestine a été relâché Exclusif | Visé par deux plaintes dont une pour « menaces de mort » et « intimidation par arme à feu », l'homme neutralisé par la police le 7 décembre dans le XIème arrondiss
doc_180998	right	left	web1	web	Romero veut la prise en charge des préservatifs par la Sécu Le 4 avril 2013, à la veille du Sidaction, Pierre Bergé a interpellé le ministre de l’Éducation nationale Vincent Peillon en demandant la gratuité des préservatifs dans les collège
doc_188143	right	left	web1	web	L’avion, plaisir coupable de l’écolo voyageur Malaise et premières tensions entre copains, devant la pizza quatre légumes. Peut-on se dire écolo tout en s’envolant pour le week-end à Porto ? L’avion sème la zizanie. D’un côté, ceux qui conn
doc_129124	right	left	web1	web	« Flics, Fachos hors de nos facs ! », l'université Lille 2 occupée par l'extrême-gauche après la tenue d'un colloque sur l'anarchisme Environ 200 étudiants, accompagnés de quelques professeurs, se sont réunis hier devant l’université Lille 
doc_137499	right	left	web1	web	Les compétences dont la France a besoin (complété) Ce soir ou jamais – France 3 – 20 fev 2008 •Edit : Pour nos lecteurs, la “sociologie” est le type même de formation ne présentant strictement aucun débouché professionnel. Les amphis de “so
doc_366100	left	right	web1	web	Agroalimentaire : Les professionnels du recyclage Sous la pression des services sanitaires et des consommateurs, dans un certain nombre de pays, les sociétés agroalimentaires se sentent sous surveillance. Mais pas toujours, et pas partout! 
doc_359014	left	right	web1	web	Loto pour l'Afrique : Faites vos jeux... Le ministre de la Coopération, Alain Joyandet, vient de proposer de créer une loterie sur Internet qui servirait à l'aide aux pays africains. Dans un style bien à lui, il affirme que c'est « un proje
doc_232286	right	left	web1	web	Le gouvernement et le mouvement HLM promettent la construction de 100.000 logements sociaux en 2025 Pour rappel, l’Union sociale pour l’habitat, qui représente les bailleurs sociaux, évalue à environ 85.300 le nombre d’agréments de logement
doc_172434	right	left	web1	web	Le streaming, ennemi numéro 1 du portefeuille des stars hollywoodiennes À Hollywood, à chaque vente d’une place de cinéma, d’un DVD, ou d’une diffusion télé, l’équipe du film ou de la série reçoit une portion de la transaction, définie selo
doc_108101	right	left	web1	web	LA BATAILLE PRELIMINIARE LA BATAILLE PRELIMINIARE Il devient de plus en plus évident que la lutte contre-révolutionnaire se déroule sur deux niveaux : la bataille supérieure et la bataille inférieure. Ces deux batailles répondent l'une et l
doc_152211	right	left	web1	web	JO 2016 : de plus en plus de sportifs naturalisés Le Qatar depuis le début des années 2000, ou plus récemment encore la Turquie, ont multiplié les offensives pour naturaliser des athlètes en vue de les faire participer à des compétitions in
doc_172603	right	left	web1	web	Pour Françoise Vergès, militantisme féministe et «décoloniale», «il faut fermer totalement les prisons» C’est une figure féministe parmi les plus importantes que compte l’Hexagone, un fer de lance de ce qu’on appelle la « pensée décoloniale
doc_368395	left	right	web1	web	Une annonce de Peillon : On va « observer » la violence scolaire Une enseignante frappée par une mère d'élève à Bordeaux, un professeur de sport giflé par un élève près de Poitiers, une surveillante elle aussi agressée par le frère d'un élè
doc_158071	right	left	web1	web	Petite annonce : le Projet Apache recherche un local sur Paris Identitaires parisiens et franciliens, nous désirons poursuivre notre développement actuel en nous dotant d’un lieu de travail. Celui-ci nous permettra d’accueillir et d’enracin
doc_453531	left	right	web1	web	"Manifestation Intersyndicale : ""Nous on est là aujourd'hui, demain et jusqu'au bout on sera là "" Ubu à Chambéry : Benjamin, agriculteur en procès pour “violence“ sur un policier ! Le 20 février 2020, lors d'une manifestation contre la réfor"
doc_217219	right	left	web1	web	Alexis Corbière s'insurge que Danièle Obono soit assimilée aux terroristes Alexis Corbière (Député France Insoumise de Seine-Saint-Denis) s’insurge que Danièle Obono soit assimilée aux terroristes. – BFM TV, 9 octobre 2017, 19h42 Voir aussi
doc_351244	left	right	web1	web	Liquidation d'Arjowiggins à Jouy-sur-Morin : vers une pénurie de cartes grises en France ? Les Français seront-ils bientôt à court de cartes grises ? C'est en tout cas la menace que laisse planer un leader de la CGT de l'usine de Jouy-sur-M
doc_110248	right	left	web1	web	NORWAY: ALGERIAN COMMITS ARMED ROBBERY WHILE WAITING PRISON TIME FOR ATTEMPTED MURDER Norwegian justice dept. epic fail. In Oslo, a 28 year old Algerian recently was arrested, over an armed robbery attempt. It has transpired this man former
doc_526401	left	right	web1	web	Décryptage #1 : « Réinformation » Décryptage #1 : « Réinformation » Tous les deux mois, Alternative libertaire se propose de déchiffrer une expression de la novlangue d’extrême droite. Aujourd’hui la « réinformation ». De nombreux médias en
doc_455783	left	right	web1	web	La guerre de l'extrême droite contre l'écologie dans les quartiers | Le Média Si, en apparence, de nombreux dirigeants politiques et plusieurs capitaines d’industrie donnent l’impression d’avoir intégré “la règle verte”, un lent écocide se 
