xml_id	label_true	label_pred	label_raw	corpus_id	modality	text_snippet
doc_272589	right	left	fdesouche_com	web1	web	La religion du Progrès 23 novembre 2013. Dans le temple du Cnit (Centre des nouvelles industries et technologies), le Parti socialiste réunit quelques dizaines de dévots pour réactiver la foi dans le progrès face aux idéologies du déclin. Voici une petite sélection des lieux communs déversés par ces
doc_347720	left	right	lafranceinsoumise_fr	web1	web	Langue des Signes Française : quand l’Etat délaisse 4 millions de personne Le député Loïc Prud’homme interpellait le mardi 28 mai dans l’hémicycle la secrétaire d’Etat, Mme Cluzel, sur les carences de l’Etat pour l’insertion des citoyen.ne.s sourd.e.s et malentendant.e.s. Accès aux services publics 
doc_370822	left	right	worldbank_org	web1	web	Un peu de pédagogie Certains cadres se demandent pourquoi on ne répond pas à leurs coups de fil, particulièrement pendant les congés d’été. D’abord, parce que c’est interdit de nous appeler à notre domicile. Et puis on sait que c’est toujours pour changer notre planning à la dernière minute ou pour 
doc_370103	left	right	worldbank_org	web1	web	Identité nationale : Un guide qui ne vaut pas le détour Besson a sorti un petit guide pour la conduite des débats locaux sur l'identité nationale. Si c'est une aide pour les préfets et leurs services qui en seront chargés, on ne peut pas dire que le ministre ait une haute idée de leurs capacités int
doc_253052	right	left	fdesouche_com	web1	web	Retraites : un hold-up d'État Le gouvernement s’apprête à réaliser un casse sur les retraites des 20 millions de salariés du privé dans la plus grande discrétion. Il profite du changement de statut de La Poste pour remplir les caisses de l’Ircantec, régime de retraite bénéficiant aux élus et fonctio
doc_453946	left	right	ionnews_mu	web1	web	Manifestations illégales pendant le séjour de Narendra Modi : La police enquête Deux manifestations illégales ont eu lieu le 11 mars, le jour de l’arrivée du Premier ministre indien Narendra Modi, notamment devant le haut-commissariat de l’Inde et devant les locaux de la MBC. Les manifestants tenaie
doc_434301	left	right	npa_lanticapitaliste_org	web1	web	"populisme populisme Mercredi 6 septembre 2017 Société""Non, le peuple n’est pas une masse brutale et ignorante"" (Libération du 03/01) «Il ne se passe pas de jour où l’on n’entende dénoncer les risques du populisme. Il n’est pas pour autant facile de saisir ce que le mot désigne. Qu’est-ce qu’un popul"
doc_509367	left	right	cycloshow_xy_fr	web1	web	Mission XY De quoi parle-t-on ? - l’anatomie masculine - les changements du corps à la puberté - la conception d’un enfant et la grossesse - la mission amour et vie. Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY Mission XY des garçons de 11 à 14 a
doc_394435	left	right	worldbank_org	web1	web	Un Vert dans le fromage Depuis qu’a été rendu public le patrimoine des ministres, le vert de l’écologiste Nicolas Hulot a tendance à pâlir. On se souvient qu’à l’époque où il était animateur télé Hulot partait à la rencontre de la nature en hélicoptère. À présent, le multimillionnaire possède pas mo
doc_249498	right	left	fdesouche_com	web1	web	Sexus Economicus C’est le dernier tabou des affaires : rares sont les grands contrats qui se concluent sans d’agréables « à côtés » pour les décideurs et les intermédiaires. Certains salons professionnels, voyages d’études et séminaires sont l’occasion de cadeaux d’affaires personnalisés. Et nombreu
doc_189949	right	left	fdesouche_com	web1	web	La Nuit de la Chouette (13ème édition) La Nuit de la Chouette, ça commence ce week-end ! Vous vous posez de nombreuses questions sur les rapaces nocturnes, ces hôtes des bois aussi attachants que fragiles : Comment distingue-t-on la chouette du hibou ? Qu’y a-t-il dans les mystérieuses pelotes de ré
doc_516251	left	right	fnasat_asso_fr	web1	web	Gens du voyage : des propositions pour une population en mal de dispositifs d’accueil et ignorée des politiques d’habitat Gens du voyage : des propositions pour une population en mal de dispositifs d’accueil et ignorée des politiques d’habitat Entre arrêtés d’interdiction de stationnement et refus m
doc_109145	right	left	fdesouche_com	web1	web	Vous avez cherché Muriel Ressiguier - Fdesouche Deux ex attachées parlementaires de la députée montpelliéraine de la France Insoumise, Muriel Ressiguier l’attaquent aux prud’hommes pour licenciement abusif et harcèlement moral. La députée assume les...
doc_380346	left	right	worldbank_org	web1	web	États-Unis : terrorisme d’extrême droite contre le droit à l’avortement À l’issue de la prise d’otages, l’homme a été arrêté et, bien que la presse l’ait qualifié de « désaxé vivant seul », il est évident que son acte est inspiré par la nouvelle offensive des extrémistes chrétiens, laquelle provoque
doc_121647	right	left	fdesouche_com	web1	web	Coup d'Etat en Suède ? Entente des partis jusqu'en 2022 Par Pascal Titeux. Jusqu’ici tout va bien, me direz-vous, le peuple va trancher. Mais voilà : les sondages se sont mis à dessiner une forte hausse du SD, l’amenant à des niveaux tels que ni l’alliance socialistes-verts, ni le centre-droit, ne p
doc_026307	left	right	contretemps_eu	web1	web	Jean-Paul Gautier, auteur/autrice sur CONTRETEMPS Author Archives: Jean-Paul Gautier Prolongeant une série d'articles sur l'histoire des extrêmes droites en France, de l'Action française de Charles Maurras jusqu'au Rassemblement national de Marine Le Pen et Jordan Bardella, l'historien Jean-Paul Gau
doc_011595	left	right	zulma_fr	web1	web	Forum anarchiste • Afficher le sujet pierot a écrit:Je poste ici, en attendant une éventuelle mise en ligne sur ce site anarcho-individualiste, la réponse d'une camarade, qui n'a pas envie de prendre la peine de s'inscrire sur l'En Dehors :Non seulement le mariage légal est une prostitution lorsqu’i
doc_186218	right	left	fdesouche_com	web1	web	"Extrême gauche : nouveau ""dérapage"" antisémite sur Radio libertaire (Fédération Anarchiste) Radio libertaire est une oeuvre de la Fédération Anarchiste mais dont les émissions sont animées par nombre de personnes non membres de notre fédération. Les animateurs d’une émission hebdomadaire de Radio Li"
doc_418238	left	right	blackincbooks_com_au	web1	web	Into the Woods by Anna Krien Into the Woods: The Battle for Tasmania’s Forests Awards for Into the Woods - Winner of the Literary or Media Award Advancing Public Debate in the 2011 QLD Premier’s Literary Awards - Winner of the People’s Choice Award in the 2011 Victorian Premier’s Literary Awards - S
doc_109565	right	left	theplenty_org	web1	web	AWAN128 : Link Alternatif Login Dan Daftar AWAN 128 2025 AWAN128 adalah sebuah platform yang sudah sangat di kenal di kalangan anak muda dengan tingkat kemenangan di atas rata rata dan pelayanan tercepat hanya di AWAN 128. AWAN128 adalah sebuah platform yang sudah sangat di kenal di kalangan anak mu
doc_426882	left	right	womenforwomenfrance_org	web1	web	.st0{fill:#FFFFFF;} .st1{fill:#45C2B1;} .st0{fill:#410099;} Le Portail de ressources multilingue pour toutes les victimes de violences conjugales en France et les professionnels qui les accompagnent Que vous soyez française ou non, vous trouverez ici des informations pratiques pour vous accompagner 
doc_020870	left	right	albin_michel_fr	web1	web	Sapiens (édition 2022) | Éditions Albin Michel Sapiens (édition 2022) Avec une nouvelle préface inédite de l'auteur. « Un prodige. » Le Monde des Livres Il y a 100 000 ans, la Terre était habitée par au moins six espèces différentes d'hominidés. Une seule a survécu. Nous, les Homo Sapiens. Comment n
doc_136017	right	left	fdesouche_com	web1	web	"Olivier Besancenot : ""Gauche et migrants, parlons clairement !"" Dans une tribune à “l’Obs”, Olivier Besancenot, « facteur de profession », membre du Nouveau parti anticapitaliste (NPA), appelle la gauche à assumer le débat sur les migrants, à défendre ses valeurs et son histoire. Des idées et des ac"
doc_181477	right	left	fdesouche_com	web1	web	"Les affaires vues de banlieue: ""A quoi bon mener un combat pour le civisme ?"" Quel impact auront ces affaires sur les prochaines élections? En banlieue parisienne où l’abstention atteint souvent des sommets, l’affaire Cahuzac et celle des comptes off shore ne vont pas aider à redorer le blason des h"
doc_400590	left	right	worldbank_org	web1	web	Union européenne : le droit des pauvres est un mot creux Ces avocats accusent l’UE d’avoir délibérément laissé des milliers de personnes périr, afin d’en dissuader d’autres de tenter l’aventure. Ils l’accusent également d’avoir envoyé aux mains des gangsters libyens des dizaines de milliers de migra
doc_089765	right	left	ecole_estienne_paris	web1	web	Accueil — École Estienne Brèves Actualités BTS Edition / Planning de passage des épreuves orales Événements PHILANIM workshop Portes ouvertes 2025 Événements A double sens Événements L’histoire d’Apple en 30 machines mythiques Partenariats Printemps de la typographie Événements Travaux des élèves Es
doc_523016	left	right	zoomdici_fr	web1	web	Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Bonnes feuilles : Liauzu, Manceron : « La Colonisation, la loi et l’histoire » Extrait des pages 23 et 24 de la première partie « Les origines et la genèse d’une loi scélérate ». Lire ici la critique du livre. Pour éviter
doc_440022	right	left	hugopublishing_fr	web1	web	La guerre en Ukraine - Hugo Publishing La guerre en Ukraine « Les États n’ont pas d’amis mais que des intérêts » Ce récit argumenté et historiquement documenté, offre un éclairage nouveau et vient à contre-courant des opinions généralement admises et répandues en France, en Europe et dans les pays O
doc_202965	right	left	fdesouche_com	web1	web	Toronto (Canada) : un café anarchiste et anti-police, où les gens payent s'ils le souhaitent, ferme au bout d'un an pour des raisons économiques Malheureusement, The Anarchist fermera ses portes le 30 mai. (…) le manque de richesse générationnelle / de capital d’amorçage provenant de sources éthique
doc_176136	right	left	fdesouche_com	web1	web	A Kirkouk comme au Kosovo Poussés par leurs dirigeants, des centaines de milliers de Kurdes d’Irak, mais aussi des Kurdistan syrien, iranien, turc, s’installent à Kirkouk. Bien plus que le nombre d’habitants expulsés du temps de Saddam. Le but : modifier la composition ethnique de la ville avant le 
doc_204057	right	left	fdesouche_com	web1	web	Afin de mieux garantir le droit d'accès à l'eau et l'hygiène pour tous, trois géographes appellent à la généralisation des bains-douches collectifs, déjà de retour à Marseille et Saint-Denis Dans un contexte de crises énergétique, sanitaire, économique et environnementale, il est urgent de rendre ef
doc_187550	right	left	fdesouche_com	web1	web	« À l’origine, le régime spécial des cheminots a été une volonté patronale » Le régime spécial de retraite des cheminots n’est pas seulement le fruit de la lutte syndicale. Ces avantages ont été pensés par les patrons de chemins de fer du XIXe siècle pour fidéliser une main d’œuvre qualifiée et l’em
doc_369026	left	right	worldbank_org	web1	web	Erreur judiciaire : Injuste... mais écrit Un jeune homme condamné à deux ans de prison, dont six mois avec sursis, s'est vu infliger une année de prison supplémentaire suite à l'erreur d'une greffière. Alors que la peine prononcée oralement était de deux ans, la greffière a écrit trois ans de prison
doc_393544	left	right	worldbank_org	web1	web	Nos lecteurs écrivent : parcours d’obstacles pour une immigrante Chers camarades, Je vous écris pour vous raconter le parcours du combattant d’une personne immigrant légalement en France. Ma compagne est arrivée fin juillet, avec un visa légal, car pour éviter les problèmes bureaucratiques, nous nou
doc_109506	right	left	europeanheritagealliance_eu	web1	web	About The European Heritage Alliance 3.3 is an informal European sectoral platform composed of 50 European or international networks and organisations active in the wider field of cultural heritage. The Alliance was launched in June 2011 on occasion of the European Heritage Congress 2011 organised b
doc_347893	left	right	lafranceinsoumise_fr	web1	web	« Chasse aux Roms » : La France doit protéger de la haine tous ceux qui se trouvent sur son territoire Depuis quelques jours, les agressions contre les « Roms », citoyens roumains ou bulgares vivant dans des campements de fortune, se multiplient. Des femmes, des enfants, des hommes, vivent désormais
doc_405049	left	right	worldbank_org	web1	web	Le rôle des syndicats selon Thierry Lepaon « Il n'existe à la CGT aucune opposition de principe face au patronat », a expliqué son secrétaire général Thierry Lepaon au journal patronal Le Nouvel Économiste le 19 février. « L'entreprise est une communauté composée de dirigeants et de salariés, a-t-il
doc_268437	right	left	fdesouche_com	web1	web	"Musique : ""Sobreviviendo"" Paroles de la chanson du chanteur argentin Victor Heredia: Me preguntaron cómo viva, me preguntaron; sobreviviendo, dije, sobreviviendo Tengo un poema escrito más de mil veces, en él repito siempre que mientras alguien proponga muerte sobre esta tierra y se fabriquen armas "
doc_204709	right	left	fdesouche_com	web1	web	Une première au Maroc : des habitants lancent une pétition contre la construction d’une mosquée Dans une pétition qui vient d’être mise en ligne sur le site Avaaz, il est ainsi indiqué que le budget pour la nouvelle mosquée est de 35,8 millions de dirhams, de quoi sans doute financier beaucoup de pr
doc_012000	left	right	seekingalpha_com	web1	web	Today's Stock Market Articles And Analysis | Seeking Alpha Bull or Bear, Seeking Alpha is there Markets change, but our community always has the latest in-depth analysis and powerful stock ratings. New! Get unlimited access to breaking stock news—for free. Bull or Bear, Seeking Alpha is there Market
doc_273483	right	left	fdesouche_com	web1	web	Le prix d’entrée à la piscine du Rhône flambe de 135 % pour plus de tranquillité (sécurité) ? Rappel: L’été 2013 a été l’occasion de nombreuses violences avec interventions policières, fermeture, bagarres… Piscine du Rhône fermée: plus de sécurité demandée Lyon: incivilités en série dans les piscine
doc_089599	right	left	lexinter_net	web1	web	Find Lawyers By Location & Practice | Lexinter Law Directory LEXINTER LAW DIRECTORY FEATURED LAWYERS LAW DIRECTORY PROFILES Stand Out As A Featured Lawyer And Be The First Attorney Potential Clients See. Whether You’re A Lawyer Seeking To Connect With More Clients In Need Of Representation Or An Ind
doc_272670	right	left	fdesouche_com	web1	web	"Musique : ""Television addict"" Paroles de la chanson de Pupajim Just a story, About the disease of the century You are addict Televison Addict You are addict Televison Addict The First thing you do when you arrive at home is to turn on the television You channel up To the six To the four To the two T"
doc_372635	left	right	worldbank_org	web1	web	Grande-Bretagne : Un témoin gênant Joe Glenton est un ancien soldat britannique de 27 ans, qui a été envoyé en Afghanistan pendant un peu plus d'un an à partir de 2006. Revenu au pays en 2007, il devait retourner en Afghanistan peu après, mais il a préféré déserter plutôt que de participer à une gue
doc_226872	right	left	fdesouche_com	web1	web	L'argent Bien entendu, tout le monde préfère en avoir un peu plus qu’un peu moins. « L’argent ne fait pas le bonheur, mais il y contribue », dit l’adage populaire. Encore faudrait-il savoir ce qu’est le bonheur. Max Weber écrivait en 1905 : « Un homme ne souhaite pas “par nature” gagner toujours plu
doc_294777	left	right	afea_fr	web1	web	Credits Diffuser des informations aux membres de l’association Pour diffuser vos informations (CFP, événements, etc.), merci de privilégier le formulaire AFEA news qui vous permettra de mettre vos annonces en ligne sur le site de l’association en quelques clics. Elles seront ensuite relayées aux mem
doc_087421	right	left	ceser_iledefrance_fr	web1	web	Conseil économique, social et environnemental d'Île-de-France Notre raison d'être En tant que représentants de la société civile, nous sommes l’écho des aspirations des Franciliennes et des Franciliens. Ça se passe en ce moment Nous nous réunissons plus de 200 fois chaque année, et sommes représenté
doc_278514	right	left	fdesouche_com	web1	web	«Les voix ouvrières se détournent massivement de la gauche» Dominique Reynié, politologue, professeur à Sciences Po Paris, fondateur du think tank Fondapol, «libéral, progressiste et européen» répond aux questions du Point.fr sur le vote ouvrier qui représente 6 millions de Français, sur environ 45 
doc_355132	left	right	worldbank_org	web1	web	Au temps de la e-religion Deux petits entrepreneurs de Normandie viennent de lancer une application catholique pour téléphone portable et smartphone. Il s’agit d’ajouter en surimpression sur la photo d’un ami, voire d’un animal ou même d’un objet, une croix, un poisson (symbole chrétien) ou un simpl
doc_346836	left	right	lafranceinsoumise_fr	web1	web	Les assistantes maternelles entrent (un peu) à l’Assemblée « Chaque mois de septembre, c’est l’angoisse. Du jour au lendemain j’ai perdu trois enfants, trois contrats, à cause du déménagement des parents. Je suis tombée à 700€. » On a un peu fait rentrer les assistantes maternelles, leurs salaires, 
doc_256770	right	left	fdesouche_com	web1	web	"Thomas Legrand juge que Houellebecq avait ""tout faux"" avec son roman Soumission écrit en 2014 et que les notions d'invasion et d'islamo-gauchisme qu'il aborde ne correspondent qu'aux ""névroses"" de l'auteur Invasion, ensauvagement, «islamo-gauchisme»… Les deux Michel ont resservi leurs névroses dans "
doc_279149	right	left	fdesouche_com	web1	web	Total : plus de 12 milliards d'euros de bénéfices et 1,2 milliard d'impôts Le groupe pétrolier Total a réalisé un bénéfice net de plus de 12 milliards d’euros l’an dernier, grâce aux cours élevés du pétrole qui ont compensé un léger recul de sa production et des difficultés persistantes dans le raff
doc_263473	right	left	fdesouche_com	web1	web	"L'association féministe ""Nous toutes"" sort de son silence dans l'affaire Lola : elle appelle à manifester contre un rassemblement en hommage à la petite fille Contre la réappropriation par l’extrême droite du meurtre de Lola Reconquête appelle à un rassemblement “pour Lola” à Rennes ce samedi 22 oct"
doc_265478	right	left	fdesouche_com	web1	web	L'épopée des fusées V2, premiers missiles balistiques La V2 n’est pas, loin s’en faut, un projet qui prit la suite des V1. En fait, ce fut même un concurrent de la V1, projet du RLM (Reichsluftfahrtministerium : ministère de l’air), qui voyait d’un assez mauvais œil des projets aériens lui échapper.
doc_379679	left	right	worldbank_org	web1	web	Collard, avocat des exploiteurs Gilbert Collard, secrétaire du Rassemblement Bleu Marine et député FN du Gard, a confié au Figaro du 31 août : les ordonnances du Code du travail « ne vont modifier en rien la structure économique des entreprises ». Selon lui, la vraie réforme à mener devrait plutôt v
doc_426331	left	right	arenes_fr	web1	web	La Langue de Trump - Bérengère Viennot - Les Arènes Traductrice de presse, Bérengère Viennot s’est trouvée confrontée à un défi inédit après l’élection de Donald Trump. Le président américain a fait exploser les codes de la parole politique. Sa langue est vulgaire et confuse, truffée de fautes de sy
doc_350153	left	right	lafranceinsoumise_fr	web1	web	Après Buzyn, l’an 01 ! « On arrête tout, on réfléchit, et c’est pas triste ». Telle était la devise de Gébé dans L’An 01. Aujourd’hui, on est bien obligés d’arrêter. Donc autant réfléchir. Pour que demain soit moins triste. Sur lan01.org, je propose donc à qui le souhaite d’oeuvrer ensemble, grâce à
doc_432400	left	right	npa_lanticapitaliste_org	web1	web	Lancement d'une campagne contre les violences policières... Info NouvelObs.com : une cinquantaine de représentants d'associations ont lancé une campagne nationale contre les pratiques policières violentes, co-organisée par le parti d'Olivier Besancenot. Une cinquantaine de représentants d'associatio
doc_466689	left	right	article_1_eu	web1	web	Les étudiants face à la crise sanitaire | Article 1 Paris, le 16 novembre 2020 – Ce deuxième confinement a de lourdes conséquences sur les étudiants. Article 1 – association majeure de lutte pour l’égalité des chances – a interrogé 1.500 étudiants qu’elle accompagne au quotidien*, sur les difficulté
doc_394157	left	right	worldbank_org	web1	web	Tribunal de Bobigny : un autre policier accusé Les violences policières dont a été victime le jeune Théo, à Aulnay-sous-Bois, ont fait remonter d’autres affaires à la surface, notamment en Seine-Saint-Denis. Lundi 20 février, le tribunal correctionnel de Bobigny était appelé à juger un policier accu
doc_452234	left	right	senateurs_socialistes_fr	web1	web	Le bureau - Sénateurs Socialistes - Patrick Kanner – Président du groupe - Laurence Harribey – Présidente déléguée - Eric Kerrouche – Président délégué - Laurence Rossignol – Présidente déléguée - Rachid Temal – Président délégué - Hervé Gillé – Vice-président thématique - Corinne Féret – Trésorière
doc_400803	left	right	worldbank_org	web1	web	Une démocratie très relative L'élection des députés au Parlement européen s'effectue, dans tous les pays de l'Union, au suffrage universel direct à un tour, et à la proportionnelle. Mais ceux-ci conservent une certaine marge de manoeuvre pour organiser ces élections. Ils peuvent notamment fixer un m
doc_365111	left	right	worldbank_org	web1	web	Hollande mérite la médaille en fer-blanc Aux champions d'Europe d'athlétisme rassemblés sur le perron de l'Élysée, Hollande a déclaré : « Vous avez porté des valeurs qui comptent dans la société d'aujourd'hui : le travail... La seconde valeur que vous avez portée, c'est l'effort. » Travail, effort, 
doc_178472	right	left	fdesouche_com	web1	web	Cacao : La monnaie des Aztèques Si les fèves de cacao avaient une telle valeur à l’époque c’est que la production et la culture du cacaoyer était particulièrement contraignante. Cette difficulté à produire le cacao est l’une des raisons pour lesquelles ses fèves furent utilisées très tôt comme valeu
doc_350761	left	right	lafranceinsoumise_fr	web1	web	Macron « surpris par le virus », c’est un gag ? Quand Macron en arrive à dire hier soir : « Nous sommes surpris par la deuxième vague », c’est un gag ? Alors qu’il aurait pu simplement écouter son Conseil scientifique qui n’a cessé de l’alerter. Mais le Premier ministre répond « qu’il faut nous lave
doc_442206	right	left	dailypakistan_com_pk	web1	web	Humza Yousaf set to become first Pakistani Muslim first minister of Scotland Humza Yousaf has become the first Pakistani Muslim to be elected as the new leader of the Scottish National Party (SNP) and will assume charge as first minister to replace Nicola Sturgeon on Wednesday. The first minister of
doc_388631	left	right	worldbank_org	web1	web	Un village sans hommes Selon le gouverneur du Kamchatka, une presqu’île russe faisant face à l’Alaska, la bourgade de Sedanka pourrait devenir le premier village à être « décoré de la valeur militaire ». Sur 260 habitants, il compte 67 hommes de plus de 18 ans, dont 39 sont partis au front. Combien 
doc_469021	left	right	on_tenk_com	web1	web	Le Marcheur - Film documentaire - Tënk Résumé Le Marcheur est ouvrier dans une usine aviaire. Dégoûté par son travail abject, il se met en marche et trouve refuge parmi des manifestants. Errant, il dilue sa colère dans la leur L'avis de Tënk Les gens ont des grosses mains. Le marcheur a des grosses 
doc_196172	right	left	fdesouche_com	web1	web	Pourquoi le tourisme humanitaire profite plus aux riches qu'aux pauvres Des agences font exactement cela. Soucieuses d’offrir une alternative au tourisme de masse, auquel elles reprochent d’importants dégâts éthiques et écologiques, elles développent et promeuvent une conception plus symétrique du v
doc_386524	left	right	worldbank_org	web1	web	Après le père Noël, voilà le pape « progressiste » Que n'a-t-on pas lu et entendu sur les vertus du pape, choisi comme personnalité de l'année par le magazine américain Time, alors que les journaux français ne sont pas en reste ? « Il est simple », « il est moderne », « il est progressiste », répète
doc_410361	left	right	worldbank_org	web1	web	"La ""mondialisation"" d'un plateau-repas On ignore la cause de l'épidémie de fièvre aphteuse qui frappe le Royaume-Uni. La Grande-Bretagne est une île, et il n'y a pas de foyers à proximité. Alors, le tunnel sous la Manche ? L'hypothèse vraisemblable, mais absolument pas prouvée, c'est que les restes "
doc_388668	left	right	worldbank_org	web1	web	Violences policières au tribunal de Paris Un policier a été mis en examen jeudi 12 juillet pour avoir frappé un détenu à l’intérieur du Tribunal de grande instance de Paris. Les faits remontent au 9 juin, mais c’est la mise en ligne d’une vidéo, un mois après, qui a révélé l’affaire et obligé l’Insp
doc_140859	right	left	fdesouche_com	web1	web	"Michèle Cotta : ""Juppé et Fillon : deux droites différentes, vraiment ?"" Analyse de Michèle Cotta sur l’opposition entre Juppé et Fillon. Certes, la conclusion immédiate de ces heures passées sur les plateaux de télévision est que la primaire de la droite et du centre a été une vraie réussite, d’une"
